customer_id,customer_name,total_revenue,customer_segment
2417,Jessica Silva,5543733.3199999975,High Value
56312,Jorge Grimes,5378218.000000001,High Value
65163,Wendy Hill,5284485.320000002,High Value
97407,Christopher Roman,5271948.3100000005,High Value
32417,Leroy Walker,5265099.170000002,High Value
67342,Gina Rivera,5204268.1000000015,High Value
73500,Benjamin Martin,5113520.759999998,High Value
45627,Brittany Young,5053823.36,High Value
62953,Ana Curry,4987071.849999997,Mid Value
70691,Jennifer Green,4958457.930000002,Mid Value
13150,Nicholas Munoz,4958352.0299999975,Mid Value
54709,Jessica James,4891270.66,Mid Value
52095,Jacob Andrews,4775074.860000003,Mid Value
86625,Anthony Harris,4670119.300000001,Mid Value
95621,Gregory Lewis,4666781.290000001,Mid Value
92321,Kyle Clark,4665296.779999998,Mid Value
71140,Keith Duke,4630958.040000003,Mid Value
93270,Randy Perry,4612366.27,Mid Value
71101,Kirk Snyder,4514117.02,Mid Value
25052,Mindy Hubbard,4471712.979999999,Mid Value
14157,Dalton Smith,4396613.629999999,Mid Value
62111,Diana Dominguez Md,4343324.670000001,Mid Value
86605,Nicholas Little,4335911.5600000005,Mid Value
77824,Christina Wright,4305302.460000002,Mid Value
23208,Cody Ortiz,4248533.450000003,Mid Value
99503,Jennifer Edwards,4203446.830000001,Mid Value
73105,Tiffany Henderson,4147766.470000002,Mid Value
34672,Guy Jackson,4036924.880000001,Mid Value
11797,Dr. Daniel Johnson,4034391.9800000004,Mid Value
4953,Ms. Margaret Flores,4026832.879999999,Mid Value
12259,Jessica Jones Dds,4010656.509999998,Mid Value
74684,Gabriel Schultz,3950793.13,Mid Value
18759,Mr. Bradley Hancock,3935756.7700000005,Mid Value
72467,Daniel Smith,3915478.269999999,Mid Value
1209,Cathy Chung,3903893.509999998,Mid Value
89131,Jill Garza,3900017.35,Mid Value
60889,Maurice Munoz,3899967.1599999983,Mid Value
71288,Justin Herring,3860407.8399999994,Mid Value
7791,Crystal Carpenter,3820744.83,Mid Value
31275,Alyssa Miller,3807434.67,Mid Value
17902,Justin Werner,3775631.7499999995,Mid Value
26298,Kimberly Woods,3712771.1399999997,Mid Value
63495,Christina Kaiser,3610400.959999999,Mid Value
7909,Carol Carlson,3528839.829999999,Mid Value
46829,Mrs. Jessica Stewart,3524031.4,Mid Value
32750,Renee Jenkins,3523579.2199999997,Mid Value
82391,Kenneth Randolph,3499705.430000002,Mid Value
29619,Jack Hampton,3461384.409999999,Mid Value
43090,Nicole Cox,3427543.7600000007,Mid Value
88469,Dawn Lee,3371284.55,Mid Value
88695,Veronica Reed,3352926.180000001,Mid Value
39970,Ryan Logan,3269079.460000001,Mid Value
24378,Katrina Greene,3254419.5699999994,Mid Value
22221,Rhonda Edwards,3247523.589999999,Mid Value
52734,Daniel Little,3192151.34,Mid Value
60397,Phillip Cannon,3142607.5300000003,Mid Value
78911,David Perez,3137028.169999999,Mid Value
93118,Susan Ward,3127499.16,Mid Value
96651,Erik Washington,3060769.96,Mid Value
50136,Andrea Baker,3041464.33,Mid Value
31665,Jessica Good,3024965.620000001,Mid Value
12047,Mariah Wilson,3020718.7900000005,Mid Value
62046,William Smith,3005863.46,Mid Value
6851,Ronald Robinson,3005161.0,Mid Value
1521,Kim Jensen,2983792.709999999,Mid Value
62171,Thomas Webb,2937897.97,Mid Value
97342,Christina Yang,2922922.089999999,Mid Value
90966,Carrie Griffin,2914729.919999999,Mid Value
76512,Christine Nichols,2881120.0700000008,Mid Value
72489,Matthew Brennan,2878168.209999999,Mid Value
44879,Scott Jones,2872795.740000001,Mid Value
52965,Donna Osborn,2848863.79,Mid Value
97426,Malik Jones,2847411.4000000004,Mid Value
24918,Corey Gross,2834522.7399999984,Mid Value
6211,Linda Snow,2810629.4,Mid Value
36395,Katherine Sampson Md,2755210.4999999995,Mid Value
29395,Michael Fischer,2750837.0700000003,Mid Value
80808,Sarah Spence,2745262.88,Mid Value
5055,Jonathan Parker,2742805.3099999996,Mid Value
66189,Anthony Clark,2684367.35,Mid Value
44436,Misty Hernandez,2678188.340000001,Mid Value
37015,Sarah Burns,2676714.28,Mid Value
76683,Patrick George,2668139.2799999993,Mid Value
31617,Andrea Russell,2666715.0500000007,Mid Value
43773,Ronald Caldwell,2642808.1199999996,Mid Value
32128,Patrick Williams,2626677.7199999993,Mid Value
6696,Stephanie Richards,2607669.8300000005,Mid Value
32737,Danielle Acosta,2600422.4899999998,Mid Value
70868,Anthony Guzman,2590492.1899999995,Mid Value
33275,Antonio Lawson,2576839.8899999997,Mid Value
91897,Brendan Grant,2546892.7399999984,Mid Value
23747,Benjamin Barrett,2537845.51,Mid Value
60650,Erika Bryant,2491312.2700000005,Mid Value
5377,Robin Gates,2488119.2699999986,Mid Value
39233,Samuel Taylor,2472659.079999999,Mid Value
28620,Anthony Mason,2465254.13,Mid Value
27941,Mr. Brandon Gordon,2461105.999999999,Mid Value
74363,Charles Mendoza,2443996.1100000003,Mid Value
39489,Wendy Mendoza,2428589.41,Mid Value
27999,John Jenkins,2395179.040000001,Mid Value
2985,Christine Hardy,2389008.47,Mid Value
35800,Jose Willis,2354694.9000000004,Mid Value
2515,Brandon Davis,2352053.7299999995,Mid Value
2515,Brandon Davis,2352053.7299999995,Mid Value
25270,James Perez,2338039.080000001,Mid Value
25270,James Perez,2338039.080000001,Mid Value
61223,Lori Bennett,2321071.719999999,Mid Value
29832,Jared Ross,2319988.76,Mid Value
24299,Dustin Thompson,2316575.0199999996,Mid Value
56995,David Hardin,2299299.92,Mid Value
12604,Kathy Hardin,2298813.09,Mid Value
43345,Shelley Phillips Md,2298554.640000001,Mid Value
51029,Kristopher Powell,2297992.959999999,Mid Value
56558,Christopher Conner,2286998.4600000004,Mid Value
94607,Andrea Harrison Md,2286937.7600000002,Mid Value
55692,Grace Scott,2285455.94,Mid Value
90513,Jose Martin,2282924.7199999993,Mid Value
29892,Raymond Norman,2233013.8899999997,Mid Value
32270,Juan Thomas,2229572.8500000006,Mid Value
17349,Tina Delacruz,2214248.08,Mid Value
26477,Beth Palmer,2213494.089999999,Mid Value
66785,Tammy Howe,2204356.83,Mid Value
73640,Rachel Downs,2202185.7399999998,Mid Value
91960,Rodney Copeland,2193349.1899999995,Mid Value
64847,Gilbert Kennedy,2166668.0200000005,Mid Value
91750,Christine Vance,2143190.29,Mid Value
20224,Christopher Novak,2122227.4499999997,Mid Value
52406,Edward Moore,2118735.8400000012,Mid Value
94655,Brandy Weeks,2117126.87,Mid Value
91386,Charles Williams,2099033.730000001,Mid Value
12547,Lisa James,2088155.7299999995,Mid Value
52710,David Wood,2074482.7600000012,Mid Value
43486,Jenna Cook,2072920.4099999992,Mid Value
73662,Jessica Miller,2063362.89,Mid Value
73662,Jessica Miller,2063362.89,Mid Value
84727,Nicole Cole,2046444.1900000006,Mid Value
70233,Tyler Lopez,2043481.9700000002,Mid Value
64727,Amber Jordan,2029815.69,Mid Value
94775,Anthony Matthews,2016029.089999999,Mid Value
21443,Ronald Lee,2007334.4000000004,Mid Value
79906,Kristi Rodriguez,2003064.8200000003,Mid Value
60103,David Wilson,1996614.21,Mid Value
18579,Lisa Erickson,1993376.8899999997,Mid Value
73958,Daniel Rodriguez,1929149.6099999994,Mid Value
43045,Andrew Ruiz,1928561.2800000003,Mid Value
45526,Mary Nguyen,1928067.0699999998,Mid Value
17173,Joseph Wolfe,1924217.8900000001,Mid Value
45759,Douglas Whitney,1919210.5000000005,Mid Value
15261,Mrs. Heather Stephenson Md,1914073.5099999995,Mid Value
54400,Laurie Mckay,1914060.09,Mid Value
54651,Melissa Raymond Dds,1904315.2899999996,Mid Value
28520,Amy Stephenson,1903725.1199999996,Mid Value
3711,Nicholas Hays,1884637.52,Mid Value
9024,Phillip Bell,1872155.1600000006,Mid Value
3214,Terry Miles,1870816.9,Mid Value
92401,Timothy Thomas,1867737.2399999998,Mid Value
23356,Bryce Patterson,1865657.8100000005,Mid Value
69159,Teresa Peterson,1865363.4399999997,Mid Value
76370,Jeffrey Schmidt,1860203.5599999998,Mid Value
43373,Megan Jones,1850924.13,Mid Value
85126,Tyler Avila,1847977.27,Mid Value
57227,Kevin Collins,1839160.0699999998,Mid Value
92648,Michelle Martinez,1837281.2199999993,Mid Value
49045,Leslie Armstrong,1821094.4400000006,Mid Value
13728,Crystal Schwartz,1820496.1800000002,Mid Value
87287,Richard Chavez,1819783.8299999991,Mid Value
16131,Justin Morgan,1801932.6999999993,Mid Value
16131,Justin Morgan,1801932.6999999993,Mid Value
99926,Ashley Stephens,1800304.4999999998,Mid Value
21098,Diane Moore,1796567.0100000002,Mid Value
76071,Alexander Barnes,1783053.6600000001,Mid Value
9735,Ian Pollard,1748870.9299999992,Mid Value
2971,Chris Goodman,1731731.95,Mid Value
20796,Jillian Ferguson,1715832.6799999997,Mid Value
17598,Jamie Jacobs,1713957.9199999995,Mid Value
81046,John Goodman,1702980.4699999997,Mid Value
63863,Kathy Johnson,1698241.8100000005,Mid Value
77311,Robert Hunter,1697627.5599999994,Mid Value
4139,Maria Lucas,1692791.3000000003,Mid Value
86058,Seth Mcgee,1689201.0200000003,Mid Value
58319,Connie Allison,1682876.0700000003,Mid Value
84104,Ann Guerra,1682162.7200000002,Mid Value
41712,Mr. Zachary Powell,1676770.460000001,Mid Value
96476,Andrew Snyder,1671916.7700000005,Mid Value
95491,Charles Collins,1671067.94,Mid Value
50630,Amber Wagner,1665782.7299999993,Mid Value
6718,Felicia Alexander,1665681.32,Mid Value
12175,Audrey Gates,1657678.0899999999,Mid Value
73569,Brianna Carter,1626792.6,Mid Value
73272,Joshua Lawrence,1625395.0900000005,Mid Value
82133,Jessica Johnson Phd,1614691.9699999997,Mid Value
11145,Sarah Prince,1608148.88,Mid Value
18812,Tara Rodriguez,1592548.5699999998,Mid Value
43993,Eric Campbell,1585643.71,Mid Value
42100,Felicia Johnson,1584602.4299999997,Mid Value
60366,Kenneth Stephenson,1574925.2900000005,Mid Value
72621,Douglas Hansen,1565972.5800000003,Mid Value
14766,Jason Reed,1564847.21,Mid Value
62399,Christine Fields,1559459.7499999998,Mid Value
54947,Natalie Thomas,1547909.44,Mid Value
99473,Catherine Barnes,1545489.38,Mid Value
32018,Amber Morse,1543635.53,Mid Value
21560,Ryan Hart,1532316.3400000003,Mid Value
64419,Adam Clark,1527831.8000000007,Mid Value
32243,Colton Mcclure,1522061.0200000003,Mid Value
49373,Nancy Campbell,1510690.8199999998,Mid Value
38995,Erika Bell,1507342.54,Mid Value
24566,Jennifer Bailey,1496818.27,Mid Value
81424,Bonnie Ellis,1493229.2100000002,Mid Value
14191,Leah Gould,1483415.8799999994,Mid Value
71422,Karen Ward,1480647.3600000003,Mid Value
73679,Erica Rodriguez,1463676.69,Mid Value
64187,Courtney Dorsey,1458114.3099999998,Mid Value
86596,Christopher Wheeler,1442429.7800000003,Mid Value
14890,Christina Bullock,1441212.6300000004,Mid Value
12975,Martin Delgado,1440218.7000000004,Mid Value
46613,Nathaniel Hamilton,1438227.0199999996,Mid Value
73136,Sierra Miller,1437259.96,Mid Value
20424,Patrick Harris,1437077.0699999998,Mid Value
9891,James Mueller,1434756.7999999998,Mid Value
74606,Jason Davis,1429056.5300000003,Mid Value
84801,Christopher Aguirre,1427698.3500000003,Mid Value
57158,Chloe Schmidt,1416965.0600000003,Mid Value
99287,Patricia Perry,1416863.61,Mid Value
14262,Steven Bates,1416175.1899999997,Mid Value
73312,Veronica Lester,1411682.39,Mid Value
49170,Kevin Garcia,1406821.1800000002,Mid Value
37500,Amy Chambers,1400527.6500000001,Mid Value
38052,Shannon Martinez,1399115.8200000003,Mid Value
61703,Valerie Kelley,1395159.3600000003,Mid Value
16127,Gary Howell,1390388.79,Mid Value
15835,Andrea Young,1388114.3900000001,Mid Value
89156,John Yu,1384657.5300000003,Mid Value
45970,Zachary Dunlap,1376113.0,Mid Value
93311,Dawn Fisher,1375688.73,Mid Value
8024,Matthew Rivera,1367004.6299999997,Mid Value
67297,Benjamin Ward,1364487.8000000003,Mid Value
82295,James Newman,1363504.0700000003,Mid Value
74079,Shannon Bryant,1357433.7600000002,Mid Value
37720,Susan Gibson,1348531.9200000004,Mid Value
68018,Annette Campbell,1337263.22,Mid Value
44576,David Giles,1330625.6099999999,Mid Value
27583,Diana Greene,1328666.77,Mid Value
56937,Lindsey Larson,1327309.14,Mid Value
42022,Derek Chen,1324735.46,Mid Value
68795,Dr. Claire Burns,1324244.14,Mid Value
39332,Robert Hernandez,1318497.5999999999,Mid Value
39332,Robert Hernandez,1318497.5999999999,Mid Value
80066,Mrs. Chelsea Bowman,1317310.92,Mid Value
72266,Steven Sullivan,1313722.71,Mid Value
22090,Richard Bradford,1310359.1600000001,Mid Value
35454,Daisy Perry Dvm,1302739.94,Mid Value
15152,Bradley Bird,1295534.5599999996,Mid Value
92604,Nathan Harper,1292916.87,Mid Value
33101,Tara Powell,1277986.6099999999,Mid Value
87941,Angela Meyer,1276899.7599999998,Mid Value
98632,Angela Smith,1272315.86,Mid Value
55404,Heidi Dennis,1268448.6300000004,Mid Value
97520,Jennifer Todd Phd,1268058.1099999999,Mid Value
57103,Michael Wallace,1266140.1099999999,Mid Value
1559,Marc Reed,1265010.3800000001,Mid Value
1567,Dylan Whitaker,1262333.1099999999,Mid Value
64346,Curtis Bernard,1254904.38,Mid Value
78579,Jennifer Anderson,1251374.24,Mid Value
46823,Wendy Henderson,1250698.27,Mid Value
55787,Robert Brown,1246606.4900000002,Mid Value
69502,John Johnson,1245561.99,Mid Value
21674,Mr. Jeffrey Clark Dvm,1244287.2700000003,Mid Value
8362,Fred Young,1238642.9700000002,Mid Value
57902,Maria Powell,1230637.81,Mid Value
60878,Kathryn Barajas,1230457.07,Mid Value
43897,Craig Bryan,1222736.8199999996,Mid Value
33513,Alex Herrera,1221671.7499999998,Mid Value
16495,Elaine Cooper,1220371.7800000003,Mid Value
90894,Loretta Torres,1216000.0499999998,Mid Value
95615,Lisa Mahoney,1212593.7199999997,Mid Value
55982,John Baker,1209117.0800000003,Mid Value
93685,Corey Waters,1204054.0899999999,Mid Value
73070,Angela Wilson,1197527.0500000003,Mid Value
10337,Miguel Hughes,1196676.78,Mid Value
4940,Jennifer Webb,1193875.17,Mid Value
15824,Amanda Gibson,1189925.21,Mid Value
32819,Joshua Hall,1189033.6699999997,Mid Value
35972,Randy Barker,1186165.2999999998,Mid Value
42475,Frances Stone,1183945.37,Mid Value
65417,Christina Brown,1176054.0800000005,Mid Value
62905,Ariana Savage,1172346.01,Mid Value
22937,Fernando Avila,1171594.7600000002,Mid Value
61374,Adam Simpson,1170279.67,Mid Value
81552,Adam Soto,1169328.15,Mid Value
4283,Kayla Stevens,1167379.8,Mid Value
33369,Rachel Terrell,1166900.9,Mid Value
75198,Lori Harrell,1165692.1400000001,Mid Value
76473,Sarah Kramer,1164986.1,Mid Value
97106,Mrs. Candice Barnett,1163450.16,Mid Value
85299,Christian Hutchinson,1162429.1199999996,Mid Value
76727,Corey Rodriguez,1161923.03,Mid Value
85564,Candace Willis,1160475.3399999999,Mid Value
88388,Thomas Lopez,1158968.3199999994,Mid Value
42053,Dr. Mary Livingston,1150812.4000000001,Mid Value
65751,Martin Campos,1150105.7400000002,Mid Value
68453,William Stone,1149900.1500000004,Mid Value
35309,Frank Huff,1146628.4000000001,Mid Value
22099,Michael Howard,1140761.0600000003,Mid Value
26754,Robert Lloyd,1140109.83,Mid Value
26754,Robert Lloyd,1140109.83,Mid Value
67201,John Sullivan,1140105.8399999999,Mid Value
93026,Rachel Patterson,1137030.95,Mid Value
69477,Brandon Riggs,1134787.2200000002,Mid Value
98921,William Flores,1133538.1,Mid Value
51649,Sarah Hester,1132735.6300000001,Mid Value
93908,Bryan Little,1132080.51,Mid Value
72006,Mr. Jeffery Day Ii,1131998.1199999996,Mid Value
90662,Samantha Mason,1130687.73,Mid Value
9596,Lisa Roberts,1127067.16,Mid Value
925,Jillian Spence,1124511.0200000003,Mid Value
4789,Ashley Carlson,1121661.0099999998,Mid Value
15201,Leslie Martin,1117829.6900000002,Mid Value
10293,Heather Richardson,1115857.3900000004,Mid Value
79081,Christopher Johnson,1112676.4100000001,Mid Value
45165,William Gray,1112337.7299999997,Mid Value
25435,Nicole Gillespie,1101803.85,Mid Value
99769,Carmen Jacobs,1100381.6500000004,Mid Value
49642,Robert Taylor,1099038.3,Mid Value
41876,Timothy Becker,1098929.4700000002,Mid Value
88981,Nicholas Campbell,1093135.5199999996,Mid Value
27396,Ashlee Griffin,1086884.6800000002,Mid Value
21240,Jackson Harrison,1085008.6199999999,Mid Value
53314,Elizabeth Russell,1081754.0899999999,Mid Value
52273,Lisa Miller,1081369.54,Mid Value
51441,Adam Garrison,1079823.1,Mid Value
7763,Carol West,1079712.6500000004,Mid Value
50579,Susan Moore,1078495.19,Mid Value
55538,Richard Mccoy,1067860.54,Mid Value
25069,Larry Cruz,1067816.05,Mid Value
71494,John Hawkins,1066086.23,Mid Value
44963,Nancy Cameron,1062031.3299999998,Mid Value
72293,Jennifer Figueroa,1061974.34,Mid Value
97246,Jennifer Gonzalez,1058755.51,Mid Value
89495,Stephanie Miller,1053703.5300000003,Mid Value
31124,Kevin Cordova,1049749.42,Mid Value
118,Tonya Martinez,1043605.5299999999,Mid Value
814,Thomas Welch,1041915.99,Mid Value
15264,Vicki Taylor,1041253.1099999998,Mid Value
87571,Janet Smith,1036762.8099999999,Mid Value
50072,Thomas Potts,1035291.0299999999,Mid Value
33706,Johnny Nguyen,1030049.7300000002,Mid Value
70786,Stephen Mcknight,1026122.8799999998,Mid Value
12934,Benjamin Riley,1023003.06,Mid Value
77841,Alicia Brown,1021601.9700000001,Mid Value
89720,Kyle Pham Phd,1020482.4500000003,Mid Value
78529,Matthew Hoover,1019081.95,Mid Value
73884,Allison Wade,1017994.7700000003,Mid Value
27187,Richard Norman,1013724.97,Mid Value
50481,Bruce Odom,1010624.8300000001,Mid Value
31249,Jesus Downs,1009523.4900000002,Mid Value
73195,Emily Powell,1009056.9699999997,Mid Value
55855,Brooke Allen,1007238.72,Mid Value
40655,Michael Rosales,1001946.3800000001,Mid Value
850,Benjamin Carey,1000480.5899999999,Mid Value
65051,Melissa Holland,998053.54,Low Value
1854,Jeanette Mcintyre,996059.8999999999,Low Value
68999,Christopher Carter,987240.3500000001,Low Value
51700,William Kane,986827.7100000001,Low Value
572,Crystal Martinez,986132.5100000001,Low Value
20715,Mark Williams,984814.2699999998,Low Value
48208,Robert Craig,980424.7100000002,Low Value
9455,Melvin Bartlett,979089.5700000001,Low Value
53721,Christopher Barton,975793.3400000001,Low Value
40027,Cory Rowland,974686.8799999999,Low Value
32617,Alexandra Butler,973134.9399999998,Low Value
61811,Gina Burke,972691.1299999999,Low Value
12507,Madeline Brown,972643.3799999999,Low Value
38648,Misty Washington,972088.3099999999,Low Value
87631,Hector Carter,968282.3600000002,Low Value
41238,Corey Garza,967798.3699999999,Low Value
6081,Bryan White,965769.5000000002,Low Value
42506,Christina Silva,965170.8299999998,Low Value
42506,Christina Silva,965170.8299999998,Low Value
49014,Mallory Lambert,963600.8,Low Value
43461,David Fitzgerald,962519.0000000002,Low Value
22625,Alison Howard,961029.48,Low Value
99008,Daniel Casey,959554.55,Low Value
32155,John Johnson,959378.5199999996,Low Value
81253,Zachary Bishop,958119.2899999998,Low Value
62931,Anthony Little,955467.72,Low Value
92068,Adrian Scott,954965.47,Low Value
42751,Jennifer Baker,950833.2099999997,Low Value
25716,James Crawford,948087.15,Low Value
84398,Sarah Butler,948064.4299999997,Low Value
36724,Cynthia Reid,947928.2899999999,Low Value
56348,Scott Anderson,947709.71,Low Value
85431,Elizabeth Fowler,945743.4600000001,Low Value
31884,Mercedes Wyatt,943291.1599999998,Low Value
98089,Robert Ewing,941138.3799999999,Low Value
11602,Megan Bryant,938587.5000000002,Low Value
98713,Bruce Bailey,936837.79,Low Value
12189,Ruth Gonzalez,935896.6200000001,Low Value
60141,Amanda Norman,932090.9400000002,Low Value
6472,Ryan Delgado,932022.9199999999,Low Value
55385,Kelsey Simpson,929871.1800000002,Low Value
8246,Tyler Brennan,929315.48,Low Value
10410,Mr. Wesley Little,928637.8800000004,Low Value
6286,David Giles,927790.51,Low Value
4841,Phillip Trujillo,926533.19,Low Value
41209,Jason Taylor,924956.2899999998,Low Value
67010,Tina Lane,921827.74,Low Value
65977,Thomas Hansen,918345.7299999997,Low Value
27191,Jeffrey Collins,915053.0599999999,Low Value
31732,Joseph Anderson,914604.4999999999,Low Value
50339,Christine Carney,912219.3300000001,Low Value
80564,Edward Brown,911365.9300000004,Low Value
40907,Teresa Alexander,909709.27,Low Value
32001,Alexis Hughes,904170.1100000001,Low Value
82861,Dr. Arthur Campbell,901979.8599999999,Low Value
82861,Dr. Arthur Campbell,901979.8599999999,Low Value
72623,Tammy Martinez,899267.8900000001,Low Value
60235,Danielle Pennington,898491.3999999999,Low Value
31859,Stacey Martin,896974.9199999999,Low Value
60131,Anita Austin,896569.8699999999,Low Value
6967,Beverly Jackson,893939.7600000002,Low Value
20584,Bryan Galloway,892337.4499999997,Low Value
84295,Sharon Marshall,891588.4999999998,Low Value
6371,Katherine Perry,890605.4900000002,Low Value
63993,Nathan Carter,888988.1100000001,Low Value
65023,Ryan Douglas,887802.4,Low Value
44721,Jennifer Vaughn,887387.3099999998,Low Value
35023,Kristy Swanson,886981.31,Low Value
62035,Jennifer Martinez,885603.4600000001,Low Value
18041,Angela Barr,884524.3400000003,Low Value
43129,Christopher Castillo,882597.31,Low Value
16408,Kent Rose,881065.9199999999,Low Value
58738,Dr. Roy Torres Phd,880104.5600000002,Low Value
28030,Donna Kelly,879635.45,Low Value
78163,Zachary Johns,878979.0499999998,Low Value
80983,Shelby Flynn,878941.14,Low Value
54207,Ann Floyd,877857.2000000001,Low Value
11484,Heather Nguyen,877375.9900000001,Low Value
18236,Brandon Moreno,876691.82,Low Value
12078,Andrew Strickland,875422.68,Low Value
55317,Michael Weaver,874943.93,Low Value
79005,Penny Peters,872954.72,Low Value
3211,Cameron White,867427.3399999999,Low Value
87722,Isabel Williams,866077.4900000001,Low Value
94231,Amanda Stein,862050.5,Low Value
65725,Donald Morales,860353.18,Low Value
92927,Mark Floyd,855821.9200000002,Low Value
9599,Madison Cunningham,853431.6800000002,Low Value
18556,Andrew Fowler,851841.0299999998,Low Value
90767,Todd Davis,843832.0200000001,Low Value
79672,Angela Fisher Md,842937.4,Low Value
21407,Susan Martin,841938.26,Low Value
88501,David Kemp,841748.2099999998,Low Value
43606,Isabel Mitchell,840628.3200000001,Low Value
30220,Taylor Brown,839513.7399999996,Low Value
31059,Cheryl Parker,839309.6300000002,Low Value
36468,Robert Mitchell,837567.36,Low Value
14235,Danielle Cortez,834704.8600000003,Low Value
53578,Kristen Stevenson,834221.7400000002,Low Value
77039,Jeffrey Payne,832936.04,Low Value
73822,Denise Cross,832735.29,Low Value
75847,Mr. Richard King Dds,832448.06,Low Value
57876,James Smith,827564.8099999998,Low Value
42939,Nathaniel Guerrero,823830.1800000003,Low Value
19413,George Anderson,823088.4700000001,Low Value
60771,Jessica Stein,822804.7400000001,Low Value
60771,Jessica Stein,822804.7400000001,Low Value
17499,Cynthia Mcknight,818431.3799999998,Low Value
87931,Crystal Brennan,814772.6800000002,Low Value
22244,Carlos Mendoza,814495.2799999999,Low Value
93895,Richard Smith Dds,813232.1900000002,Low Value
92378,Jodi Kim,811523.1599999999,Low Value
62574,Lori Jones,807140.2900000003,Low Value
67011,Dawn Hernandez,807077.24,Low Value
23672,Kristin Gutierrez,802476.77,Low Value
36918,Steven Cook,802263.54,Low Value
69804,Jeremy Barron,802160.9,Low Value
60912,John Wilson,798002.8900000001,Low Value
3714,Antonio Haynes,797500.2799999999,Low Value
17183,Aaron Moore,795273.8,Low Value
68092,Samantha Wilson,788085.0700000001,Low Value
8748,Kimberly Carter,785227.7,Low Value
90180,Andrew Solomon,783758.5700000002,Low Value
88606,Robert Romero,783185.7200000001,Low Value
75275,Justin Harrison,782626.0600000002,Low Value
34525,Collin Ford,782349.04,Low Value
57352,Jim Chapman,781894.3900000001,Low Value
